Shopping and fashion/Beauty/Cosmetics;Facebook0
Business and industry;Facebook1
Business and industry/Advertising;Facebook2
Business and industry/Agriculture;Facebook3
Business and industry/Architecture;Facebook4
Business and industry/Aviation;Facebook5
Business and industry/Banking;Facebook6
Business and industry/Banking/Investment banking;Facebook7
Business and industry/Banking/Online banking;Facebook8
Business and industry/Banking/Retail banking;Facebook9
Business and industry/Business;Facebook10
Business and industry/Construction;Facebook11
Business and industry/Design;Facebook12
Business and industry/Design/Fashion design;Facebook13
Business and industry/Design/Graphic design;Facebook14
Business and industry/Design/Interior design;Facebook15
Business and industry/Economics;Facebook16
Business and industry/Engineering;Facebook17
Business and industry/Entrepreneurship;Facebook18
Business and industry/Health care;Facebook19
Business and industry/Higher education;Facebook20
Business and industry/Management;Facebook21
Business and industry/Marketing;Facebook22
Business and industry/Nursing;Facebook23
Business and industry/Online;Facebook24
Business and industry/Online/Digital marketing;Facebook25
Business and industry/Online/Display advertising;Facebook26
Business and industry/Online/Email marketing;Facebook27
Business and industry/Online/Online advertising;Facebook28
Business and industry/Online/Search engine optimization;Facebook29
Business and industry/Online/Social media;Facebook30
Business and industry/Online/Social media marketing;Facebook31
Business and industry/Online/Web design;Facebook32
Business and industry/Online/Web development;Facebook33
Business and industry/Online/Web hosting;Facebook34
Business and industry/Personal finance;Facebook35
Business and industry/Personal finance/Credit cards;Facebook36
Business and industry/Personal finance/Insurance;Facebook37
Business and industry/Personal finance/Investment;Facebook38
Business and industry/Personal finance/Mortgage loans;Facebook39
Business and industry/Real estate;Facebook40
Business and industry/Retail;Facebook41
Business and industry/Sales;Facebook42
Business and industry/Science;Facebook43
Business and industry/Small business;Facebook44
Entertainment;Facebook45
Entertainment/Games;Facebook46
Entertainment/Games/Action games;Facebook47
Entertainment/Games/Board games;Facebook48
Entertainment/Games/Browser games;Facebook49
Entertainment/Games/Card games;Facebook50
Entertainment/Games/Casino games;Facebook51
Entertainment/Games/First-person shooter games;Facebook52
Entertainment/Games/Gambling;Facebook53
Entertainment/Games/Massively multiplayer online games;Facebook54
Entertainment/Games/Massively multiplayer online role-playing games;Facebook55
Entertainment/Games/Online games;Facebook56
Entertainment/Games/Online poker;Facebook57
Entertainment/Games/Puzzle video games;Facebook58
Entertainment/Games/Racing games;Facebook59
Entertainment/Games/Role-playing games;Facebook60
Entertainment/Games/Shooter games;Facebook61
Entertainment/Games/Simulation games;Facebook62
Entertainment/Games/Sports games;Facebook63
Entertainment/Games/Strategy games;Facebook64
Entertainment/Games/Video games;Facebook65
Entertainment/Games/Word games;Facebook66
Entertainment/Live events;Facebook67
Entertainment/Live events/Ballet;Facebook68
Entertainment/Live events/Bars;Facebook69
Entertainment/Live events/Concerts;Facebook70
Entertainment/Live events/Dancehalls;Facebook71
Entertainment/Live events/Music festivals;Facebook72
Entertainment/Live events/Nightclubs;Facebook73
Entertainment/Live events/Parties;Facebook74
Entertainment/Live events/Plays;Facebook75
Entertainment/Live events/Theatre;Facebook76
